,COLUMN_NAME,TOP_N_VALUES
13,BUSINESS_GROUP,"[
  [
    ""USD"",
    30999103
  ],
  [
    ""EUR"",
    1942933
  ],
  [
    ""JPY"",
    981522
  ],
  [
    ""GBP"",
    540165
  ],
  [
    ""AUD"",
    451066
  ],
  [
    ""CAD"",
    184723
  ],
  [
    ""BRL"",
    115810
  ],
  [
    ""CHF"",
    258
  ],
  [
    ""Ireland_EUR"",
    29
  ],
  [
    ""Ireland_GBP"",
    24
  ]
]"
14,BUSINESS_GROUP_EX_RATE,"[
  [
    1.000000000000000e+00,
    35215667
  ]
]"
15,FISCAL_YEAR,"[
  [
    ""FY25"",
    35215667
  ]
]"
16,RELATED_ITEM_CODE,"[
  [
    ""0005555555"",
    48088
  ],
  [
    ""0000000000"",
    44186
  ],
  [
    ""0"",
    32543
  ],
  [
    ""5555555"",
    20358
  ],
  [
    ""0000888888"",
    17713
  ],
  [
    ""0009999999"",
    3846
  ],
  [
    ""888888"",
    2751
  ],
  [
    ""9999999"",
    1448
  ],
  [
    ""0009886175"",
    1302
  ],
  [
    ""0009847555"",
    1300
  ]
]"
17,LOAD_TIMESTAMP,"[
  [
    ""2024-03-21 15:06:45.181"",
    29256997
  ],
  [
    ""2024-04-18 19:28:32.734"",
    1238527
  ],
  [
    ""2024-05-31 08:54:12.970"",
    1090918
  ],
  [
    ""2024-02-20 14:14:13.246"",
    1016400
  ],
  [
    ""2024-07-01 16:20:41.830"",
    423049
  ],
  [
    ""2024-07-31 15:11:27.285"",
    316622
  ],
  [
    ""2024-04-28 18:51:58.949"",
    311075
  ],
  [
    ""2024-09-23 07:16:04.669"",
    303839
  ],
  [
    ""2024-06-26 05:44:22.343"",
    286486
  ],
  [
    ""2024-08-30 03:59:03.992"",
    279391
  ]
]"
18,ORIGINAL_CONTRACT_END_DATE,"[
  [
    ""2024-07-31"",
    5858
  ],
  [
    ""2026-01-14"",
    5564
  ],
  [
    ""2025-02-14"",
    4804
  ],
  [
    ""2025-01-31"",
    3749
  ],
  [
    ""2024-01-31"",
    3584
  ],
  [
    ""2024-04-30"",
    3225
  ],
  [
    ""2024-05-15"",
    3122
  ],
  [
    ""2026-01-30"",
    3092
  ],
  [
    ""2024-05-09"",
    2887
  ],
  [
    ""2026-01-31"",
    2811
  ]
]"
19,ACCOUNT_NUMBER,"[
  [
    ""4-646672"",
    83933
  ],
  [
    ""4-362750"",
    73603
  ],
  [
    ""4-404952"",
    65217
  ],
  [
    ""4-325893"",
    60957
  ],
  [
    ""4-634944"",
    51249
  ],
  [
    ""4-709375"",
    48718
  ],
  [
    ""4-618240"",
    44344
  ],
  [
    ""4-367550"",
    43807
  ],
  [
    ""4-382029"",
    43129
  ],
  [
    ""4-287146"",
    42407
  ]
]"
20,ITEM_PAYMENT_EX_RATE,"[
  [
    1.000000000000000e+00,
    25227897
  ],
  [
    1.020408160000000e+00,
    3572645
  ],
  [
    8.928571400000000e-01,
    1268677
  ],
  [
    1.470000235000000e+02,
    1148825
  ],
  [
    9.800000000000000e-01,
    522882
  ],
  [
    9.433962259999999e-01,
    459753
  ],
  [
    8.333333333000000e+01,
    433108
  ],
  [
    1.562500000000000e+00,
    368908
  ],
  [
    1.489999866000000e+02,
    343842
  ],
  [
    5.263157890000000e+00,
    194478
  ]
]"
21,COMPENSATION_CATEGORY,"[
  [
    ""License"",
    33260434
  ],
  [
    ""ADJ_QUOTA_COMM"",
    756809
  ],
  [
    ""Usage"",
    517219
  ],
  [
    ""ADJ_BONUS"",
    124269
  ],
  [
    ""Services"",
    38366
  ],
  [
    ""Training"",
    13813
  ]
]"
22,BUSINESS_GROUP_CURRENCY,"[
  [
    ""USD"",
    30999127
  ],
  [
    ""EUR"",
    1942964
  ],
  [
    ""JPY"",
    981522
  ],
  [
    ""GBP"",
    540189
  ],
  [
    ""AUD"",
    451066
  ],
  [
    ""CAD"",
    184731
  ],
  [
    ""BRL"",
    115810
  ],
  [
    ""CHF"",
    258
  ]
]"
23,PAYMENT_AMOUNT,"[
  [
    3.795000000000000e-02,
    37616
  ],
  [
    8.584187227999199e+01,
    20510
  ],
  [
    2.682595758746400e+01,
    20459
  ],
  [
    1.770492340774500e+02,
    20455
  ],
  [
    4.638356165404001e-02,
    20446
  ],
  [
    2.294900000000000e-01,
    20446
  ],
  [
    3.844383562489601e-01,
    20443
  ],
  [
    1.691506849687200e+00,
    20442
  ],
  [
    8.368190000000000e+00,
    20442
  ],
  [
    1.281506849597000e-01,
    20441
  ]
]"
24,IS_REDUCTION_ORDER,"[
  [
    ""0"",
    30633459
  ],
  [
    ""1"",
    273541
  ]
]"
